|     1|1915|
|   139|1970|
|   106|1971|
|   203|1972|
|   193|1973|
|   173|1974|
|   222|1975|
|   153|1976|
|   146|1977|
|   111|1978|
|   113|1979|
|   108|1980|
|   120|1981|
|   115|1982|
|   104|1983|
|    82|1984|
|   105|1985|
|    95|1986|
|   104|1987|
|   285|1988|
|   311|1989|
|    81|1990|
|    65|1991|
|    94|1992|
|   379|1993|
|   431|1994|
|   472|1995|
|   501|1996|
|   517|1997|
|   597|1998|
|  1206|1999|
|  1272|2000|
|  1892|2001|
|  2020|2002|
|  3139|2003|
|  3454|2004|
|  4471|2005|
|  4601|2006|
|  4656|2007|
|  4309|2008|
|133761|2009|
|     1|	2009|
|  4876|2010|
| 15127|2011|
| 11931|2012|
|    16|© 2012|
|100371|2013|
|112246|2014|
| 16096|2015|
|    84|2016|
