|    18|000)|
|    22|0000|
|     1|1|
|     9|11981|
|   100|1832|
|   124|1833|
|   112|1834|
|   124|1835|
|   124|1836|
|   132|1837|
|   110|1838|
|    98|1839|
|    92|1840|
|   122|1841|
|    84|1842|
|   198|1843|
|   222|1844|
|   144|1845|
|   168|1846|
|   136|1847|
|    80|1848|
|   102|1849|
|    72|1850|
|   902|1851|
|   936|1852|
|  1026|1853|
|  1247|1854|
|  1533|1855|
|  1583|1856|
|  2145|1857|
|  1772|1858|
|  1288|1859|
|  1456|1860|
|  1448|1861|
|  1934|1862|
|  1972|1863|
|  1770|1864|
|  1898|1865|
|  1827|1866|
|  2480|1867|
|  1988|1868|
|  2418|1869|
|  2389|1870|
|  2148|1871|
|  2433|1872|
|  2156|1873|
|  2158|1874|
|  2447|1875|
|  2565|1876|
|  2604|1877|
|  2444|1878|
|  2602|1879|
|  2994|1880|
|  3034|1881|
|  2973|1882|
|  3287|1883|
|  3182|1884|
|  3466|1885|
|  3109|1886|
|  3746|1887|
|  3472|1888|
|  3770|1889|
|  3515|1890|
|  3614|1891|
|  3501|1892|
|  3643|1893|
|  3682|1894|
|  3939|1895|
|  3859|1896|
|  4507|1897|
|  4720|1898|
|  4498|1899|
|  4570|1900|
|  5334|1901|
|  5218|1902|
|  5527|1903|
|  6591|1904|
|  6235|1905|
|  6291|1906|
|  6568|1907|
|  6722|1908|
|  6659|1909|
|  7319|1910|
|  7473|1911|
|  8608|1912|
| 10012|1913|
|  8100|1914|
|  5916|1915|
|  5771|1916|
|  4929|1917|
|  4994|1918|
|  5445|1919|
|  6817|1920|
|  8356|1921|
| 11739|1922|
| 12517|1923|
| 13155|1924|
| 13570|1925|
| 15930|1926|
| 15383|1927|
| 17674|1928|
| 16851|1929|
| 19848|1930|
| 18167|1931|
| 18530|1932|
| 19815|1933|
| 16193|1934|
| 16735|1935|
| 17126|1936|
| 16162|1937|
|   154|1937–1938|
| 16073|1938|
| 15682|1939|
| 11054|1940|
| 11134|1941|
| 10641|1942|
|  8522|1943|
|  5660|1944|
|  2288|1945|
|  3298|1946|
|  4919|1947|
|  7871|1948|
| 10616|1949|
| 14518|1950|
| 14894|1951|
| 17582|1952|
| 18722|1953|
| 19539|1954|
| 22424|1955|
| 24249|1956|
| 25897|1957|
| 27165|1958|
| 29064|1959|
|    20|1959-1960|
| 33915|1960|
| 34652|1961|
| 34019|1962|
|     6|19621962|
| 35173|1963|
| 39928|1964|
| 44339|1965|
| 51105|1966|
| 59768|1967|
|    12|1967/1968|
|     6|1967/1974|
| 60789|1968|
| 59580|1969|
| 60577|1970|
| 66425|1971|
| 77581|1972|
|    14|1972/73|
| 77638|1973|
| 80903|1974|
|    18|1974/75|
| 86515|1975|
| 92071|1976|
| 94833|1977|
| 97213|1978|
|    11|1978/1979|
| 98021|1979|
|100924|1980|
|101287|1981|
|103326|1982|
|    11|1982/1983|
|    32|1982/83|
|102084|1983|
|110568|1984|
|    26|1984/1985|
|113920|1985|
|120618|1986|
|124600|1987|
|131740|1988|
|137716|1989|
|     4|1989/1990|
|144218|1990|
|149182|1991|
|155532|1992|
|162078|1993|
|165343|1994|
|     9|19944|
|171186|1995|
|181740|1996|
|148513|1997|
|149587|1998|
|155982|1999|
|168997|2000|
|     9|20007|
|178768|2001|
|179345|2002|
|191179|2003|
|195159|2004|
|     1| 2004|
|207221|2005|
|240807|2006|
|     1| 2006|
|    30|2006 |
|266252|2007|
|     1| 2007|
|275895|2008|
|285413|2009|
|307439|2010|
|333563|2011|
|357417|2012|
|     6| 2012|
|    22|2012       |
|371132|2013|
|389693|2014|
|     8| 2014|
|360439|2015|
|    20| 2015|
|     9|2015 |
| 16878|2016|
|    27|2020|
|     1|2026|
|     1|2077|
|     1|Birkhauser Boston|
|     5|cr]1976|
|   573|Inc.|
|    11|ited|
|    11|March 1982|
|    41|ogy)|
|    56|ston|
|   179|ugie|
|   175|Wien|
